inzhcdd,monza,many time ferrari want change strategy fuck,13,1662903337.0
inzhclb,monza,mean plan bust oh ferrari,14,1662903340.0
inzhfc7,monza,charles thinking plan want question,14,1662903375.0
inzhnpi,monza,wow 2 time world champion fernando alonso,14,1662903482.0
inzhp6d,monza,wow fernander alonser 2022,14,1662903498.0
inzihuz,monza,fucking said ricc go long ffs,12,1662903849.0
inzijrk,monza,dr tell mclaren one,12,1662903871.0
inzikj0,monza,hamilton run parabolica alonso dirty air sublime set treat,14,1662903879.0
inzila6,monza,tell lando drive faster,13,1662903888.0
inziq0a,monza,happened danny missed,12,1662903942.0
inzj6sy,monza,actual decent pit stop carlos,13,1662904140.0
inzj7qx,monza,wet leclerc perhaps,12,1662904152.0
inzjg2a,monza,max rocket ship 1 second faster lmao,14,1662904255.0
inzjgep,monza,alpine reason expect anything still disappointed,14,1662904260.0
inzjh6u,monza,alonso knew something wrong age team,12,1662904269.0
inzjksp,monza,carlos continuing smooth operation dotd,12,1662904315.0
inzk6n8,monza,fantastic move hamilton,13,1662904568.0
inzk7lv,monza,go hamilton 2 0,13,1662904579.0
inzkjpr,monza,surely de vries scoring point latifi right,12,1662904711.0
inzkk6w,monza,imagine nick de vrys get point subbing williams latifi go full year without point,14,1662904717.0
inzkys8,monza,crofty buried latifi,13,1662904882.0
inzl1ie,monza,surely rooting nyck get point,14,1662904913.0
inzl3mf,monza,ferrari tried legitimate alternate strategy today thanks vsc seem going way today seemed done everything right still well behind racing,13,1662904938.0
inzlase,monza,nice move mick,12,1662905021.0
inzlbn9,monza,move mick,13,1662905030.0
inzlbrt,monza,mick fucking kidding pas,12,1662905032.0
inzlbxz,monza,nice one mick,13,1662905033.0
inzlbyi,monza,mick passing latifi despite locking lmao,14,1662905034.0
inzlelj,monza,mick fookin legend,14,1662905062.0
inzlemk,monza,mick locked still finished overtake good shit,13,1662905062.0
inzlenh,monza,mick forcing latifi use 0 2 power,13,1662905063.0
inzlesz,monza,mick big ball schumacher,13,1662905064.0
inzlg05,monza,wait see battle 14th get overdramatized dts next year,12,1662905077.0
inzlg37,monza,brilliant overtake mick masterclass,13,1662905078.0
inzlg6m,monza,wild overtake,13,1662905080.0
inzlgs1,monza,mick nick best battle day far,13,1662905086.0
inzlgvg,monza,fuk mik pull,11,1662905087.0
inzlh1v,monza,gene kicking,13,1662905089.0
inzljvb,monza,mick make pas guenther mick passed lap ago,12,1662905120.0
inzlkw1,monza,nice stuff mick man haas slow,12,1662905132.0
inzm3v5,monza,wow fast race already almost,13,1662905350.0
inzm9qz,monza,shame season started multi lap battling max charles super exciting since strategy rock solid driving rb max whilst boring thought would ended max lewis analogue,12,1662905420.0
inzmoo4,monza,taken long decide put safety car,14,1662905586.0
inznp5t,monza,everyone could go wrong race control happened,14,1662905976.0
inznqe8,monza,pure incompetence,14,1662905989.0
inznqla,monza,honestly race control awful year taking age call slam dunk sc,13,1662905992.0
inznr60,monza,race control right shit show,13,1662905998.0
inznrdq,monza,wow race de vries honestly thrilling part whole gp watching fend zhou behind race p1 interesting think de vries honestly probably sainz contender driver day hope get point well deserved,13,1662906000.0
inznta9,monza,go motor racing,13,1662906020.0
inznvsu,monza,ferrari wanted yellow flag waving celebrate 75th anniversary,13,1662906046.0
inzo3en,monza,want retrieve daniel car question,13,1662906124.0
inzo68m,monza,masi would went car racing,12,1662906155.0
inzoeox,monza,bet miss masi,13,1662906239.0
inzojvu,monza,de vries got 50 williams point debut race,13,1662906289.0
inzoo50,monza,de vries dotd,12,1662906333.0
inzoxq0,monza,managed tyre really well aye cheer lec,13,1662906432.0
inzoywq,monza,lmao nyck drive,13,1662906445.0
inzp0nt,monza,dead carrying corpse latifi exit,12,1662906464.0
inzp4dg,monza,driver day nyck fight podium go guy drove fantastic race p say shoulder dead true mate carrying team point first race well done,12,1662906505.0
inzp4uu,monza,conspiracy theory red flagged monza ferrari p2 lol,13,1662906511.0
inzpqa3,monza,max fault,13,1662906754.0
inzr24v,monza,interesting trophy sponsor logo bloody good start,11,1662907262.0
inzrzn3,monza,damn 3 week till next one,12,1662907621.0
inzbf17,monza,audio direction production national anthem reason f1 need consistent production instead letting host,12,1662900467.0
inzcd4l,monza,lol toto interviewed finnish broadcast asked belief hamilton get podium answer probably,12,1662900952.0
inzdoev,monza,never use picture picture race start replay infuriating,13,1662901638.0
inzdyq2,monza,need 2 full lap playback ffs keep tiny square withe actual race,12,1662901784.0
inzdzb4,monza,rocket ship lmao,11,1662901793.0
inze1xc,monza,people like point dominant mercs last season red bull something else,12,1662901828.0
inze3p3,monza,actual rocket ship ridiculous,12,1662901855.0
inze3qy,monza,drove past like still willams,12,1662901855.0
inze650,monza,easy verstappen win shit boring man hamilton ferrari arent even giving rb challenge,12,1662901889.0
inzeb6o,monza,ferrari clear fastest bahrain feel like lifetime ago,12,1662901960.0
inzeyn8,monza,perez front right wheel fire fast rb mechanic,12,1662902289.0
inzfp2o,monza,god damn aston ruined seb last monza race,13,1662902614.0
inzg04s,monza,whatever total opposite ferrari best strategy,13,1662902752.0
inzg183,monza,max go long massive tyre advantage towards end easy overtake,13,1662902765.0
inzg3gu,monza,charles pushing ferrari def 2 pit stop,12,1662902792.0
inzg71c,monza,oh ferrari please,12,1662902836.0
inzg8fj,monza,oh ferrari,12,1662902853.0
inzg9nu,monza,plan c combustible,12,1662902868.0
inzgm3m,monza,hamilton 11th seen single overtake,12,1662903017.0
inzgwpe,monza,way williams justify keeping latifi next year nyck driving,13,1662903147.0
inzgzfa,monza,lmao latifi genuinely bad holy fuck,12,1662903180.0
inzh1dp,monza,understand leclerc pitted early latifi still chance pit yellow,12,1662903203.0
inzh6cu,monza,pierre danny lil race today adorable,11,1662903262.0
inzhadd,monza,hamilton went 19th 7th already get spicy,11,1662903311.0
inzhbl4,monza,funny thing watching two potential candidate alpine race current team screw race,12,1662903327.0
inzhbu9,monza,plan c lown,12,1662903330.0
inzhcm1,monza,enough plan please mental health take,12,1662903340.0
inzhecp,monza,pit sainz quickly always making decision either slow fast,12,1662903362.0
inzhefd,monza,plan plan c plan want watch anymore screwderia race,13,1662903363.0
inzhmhi,monza,wow nando,12,1662903467.0
inzhmhr,monza,wow hahahaha,13,1662903467.0
inzi4fa,monza,2 4 stop fucking incredible rbr setup,12,1662903684.0
inzi513,monza,max able keep pace old softs incredible,12,1662903691.0
inzicy8,monza,max always going win ferraris hope radical different strategy shed load luck,12,1662903790.0
inzig6o,monza,mclaren wtf,12,1662903829.0
inziies,monza,lol go mclaren screwing danny,13,1662903855.0
inzikxy,monza,classic mclaren,12,1662903885.0
inzj0zg,monza,daniel asked hold gasly probably dumbest thing ever heard basically slow lando overcut fuck,12,1662904069.0
inzje2s,monza,mclaren daniel even really want tyre thinking lando could unused set medium cheer,12,1662904231.0
inzjgtz,monza,seb ad fernando like fuck shit go hang kimi,12,1662904265.0
inzjhzj,monza,alonso probably lost 90 point season,12,1662904279.0
inzjv1v,monza,19 second 18 lap big job leclerc,12,1662904437.0
inzk2xa,monza,leclerc losing time faster tire sport,12,1662904525.0
inzk6r4,monza,danny ric karma,12,1662904569.0
inzk9jv,monza,ferrari made bad call season know everyone trying pretend another disaster class redbull better feel like people want pretend closer think admitting much better redbull somehow diminishes max achievement true,12,1662904599.0
inzkaa4,monza,go hamilton,12,1662904607.0
inzkbtb,monza,great driving lewis,12,1662904623.0
